split,game,side,team,fb,fbtime,fd,fdtime,ft,fttime,cspm,goldat10,goldat15,result
summer,2,Red,BBQ Olivers,0,7.469483333,0,8.186833333,0,10.665,28.01470588,14.235,23.146,0
summer,1,Blue,Jin Air Green Wings,1,3.371133333,0,12.12865,1,17.84916667,35.94616639,15.381,23.396,0
summer,1,Red,Longzhu Gaming,0,3.371133333,1,12.12865,0,17.84916667,34.08646003,14.123,21.717,1
summer,2,Blue,Longzhu Gaming,0,1.029516667,0,12.42203333,0,10.25328333,30,14.397,21.948,0
summer,2,Red,Jin Air Green Wings,1,1.029516667,1,12.42203333,1,10.25328333,29.06928645,15.962,24.511,1
summer,3,Blue,Jin Air Green Wings,0,3.643916667,0,11.28611667,1,17.58858333,33.45785877,14.833,22.338,1
summer,3,Red,Longzhu Gaming,1,3.643916667,1,11.28611667,0,17.58858333,32.00911162,14.793,22.616,0
summer,1,Blue,SK Telecom T1,0,2.805066667,1,8.331766667,1,19.64638333,38.06476785,15.065,23.082,1
summer,1,Red,Ever8 Winners,1,2.805066667,0,8.331766667,0,19.64638333,33.68708545,15.264,23.302,0
summer,2,Blue,Ever8 Winners,0,1.395816667,0,10.96778333,0,8.152883333,27.09251101,13.042,19.336,0
summer,2,Red,SK Telecom T1,1,1.395816667,1,10.96778333,1,8.152883333,34.53744493,19.716,29.312,1
summer,1,Blue,BBQ Olivers,1,15.76178333,1,14.03185,1,13.47873333,30.34749035,14.392,23.199,0
summer,1,Red,ROX Tigers,0,15.76178333,0,14.03185,0,13.47873333,32.75096525,13.892,21.43,1
summer,2,Blue,ROX Tigers,1,6.56795,0,11.41235,1,9.958933333,29.50926936,14.948,22.692,1
summer,2,Red,BBQ Olivers,0,6.56795,1,11.41235,0,9.958933333,26.99018539,13.927,21.159,0
summer,1,Blue,KT Rolster,1,3.020683333,1,10.50148333,1,9.11535,31.13414634,16.472,24.599,1
summer,1,Red,MVP,0,3.020683333,0,10.50148333,0,9.11535,28.17073171,14.25,21.126,0
summer,2,Blue,MVP,0,4.866,1,17.2852,0,14.0526,32.4948283,14.39,21.869,0
summer,2,Red,KT Rolster,1,4.866,0,17.2852,1,14.0526,35.15101365,15.151,24.568,1
summer,1,Blue,Afreeca Freecs,1,5.44665,1,14.8078,1,13.1355,37.05527638,15.488,26.097,1
summer,1,Red,Samsung Galaxy,0,5.44665,0,14.8078,0,13.1355,36.90452261,14.788,22.693,0
summer,2,Blue,Samsung Galaxy,0,10.71266667,1,24.4448,1,19.69823333,35.44493392,14.391,23.581,1
summer,2,Red,Afreeca Freecs,1,10.71266667,0,24.4448,0,19.69823333,32.51101322,15.143,24.263,0
summer,3,Blue,Afreeca Freecs,1,15.0569,1,11.8467,1,15.71528333,34.25933051,14.726,22.498,0
summer,3,Red,Samsung Galaxy,0,15.0569,0,11.8467,0,15.71528333,36.82185456,14.709,22.457,1
summer,1,Blue,ROX Tigers,0,4.643166667,0,10.01056667,1,9.6745,30.60187249,14.709,23.03,0
summer,1,Red,KT Rolster,1,4.643166667,1,10.01056667,0,9.6745,34.15960767,16.161,23.439,1
summer,2,Blue,KT Rolster,0,6.233433333,1,12.2066,0,11.79186667,32.26613307,14.544,22.939,0
summer,2,Red,ROX Tigers,1,6.233433333,0,12.2066,1,11.79186667,32.32616308,14.979,24.584,1
summer,3,Blue,ROX Tigers,1,5.24505,0,11.9813,1,9.4171,31.18713932,15.743,23.421,0
summer,3,Red,KT Rolster,0,5.24505,1,11.9813,0,9.4171,36.15828524,16.082,25.242,1
summer,1,Blue,Jin Air Green Wings,1,9.186583333,1,18.0762,1,9.4231,33.71859296,16.534,24.752,1
summer,1,Red,Ever8 Winners,0,9.186583333,0,18.0762,0,9.4231,36.23115578,14.342,23.046,0
summer,2,Blue,Ever8 Winners,0,3.698233333,0,9.670866667,0,8.350833333,29.89772727,14.387,22.087,0
summer,2,Red,Jin Air Green Wings,1,3.698233333,1,9.670866667,1,8.350833333,31.39772727,17.255,26.07,1
summer,1,Blue,SK Telecom T1,0,9.607216667,0,15.77398333,0,15.48798333,32.30769231,14.05,21.088,0
summer,1,Red,Longzhu Gaming,1,9.607216667,1,15.77398333,1,15.48798333,35.40271493,15.21,24.09,1
summer,2,Blue,Longzhu Gaming,1,5.629866667,1,8.5918,0,12.25745,32.19020173,14.812,22.826,0
summer,2,Red,SK Telecom T1,0,5.629866667,0,8.5918,1,12.25745,34.58213256,13.695,22.958,1
summer,3,Blue,SK Telecom T1,0,4.235,1,18.36628333,1,13.54221667,29.65433596,14.884,24.111,1
summer,3,Red,Longzhu Gaming,1,4.235,0,18.36628333,0,13.54221667,31.36446331,14.881,22.185,0
summer,1,Blue,MVP,0,3.758183333,1,14.7295,0,17.09623333,31.92254495,14.42,22.332,0
summer,1,Red,Samsung Galaxy,1,3.758183333,0,14.7295,1,17.09623333,32.58644537,15.481,23.857,1
summer,2,Blue,Samsung Galaxy,1,7.108566667,0,12.77698333,0,15.07613333,35.4252462,15.37,23.315,1
summer,2,Red,MVP,0,7.108566667,1,12.77698333,1,15.07613333,30.91316025,14.814,23.338,0
summer,1,Blue,Afreeca Freecs,1,0.957033333,1,12.33168333,1,16.27573333,34.28571429,15.291,23.436,1
summer,1,Red,BBQ Olivers,0,0.957033333,0,12.33168333,0,16.27573333,32.63157895,14.233,22.112,0
summer,2,Blue,BBQ Olivers,0,2.3847,0,11.90498333,1,14.34533333,29.41627358,15.404,25.54,1
summer,2,Red,Afreeca Freecs,1,2.3847,1,11.90498333,0,14.34533333,32.08726415,14.823,22.853,0
summer,3,Blue,Afreeca Freecs,1,11.90665,0,12.9242,1,15.5958,34.39797212,14.427,22.997,1
summer,3,Red,BBQ Olivers,0,11.90665,1,12.9242,0,15.5958,31.81242079,14.558,22.317,0
summer,1,Blue,KT Rolster,0,2.858783333,1,12.97173333,1,8.420266667,30.55462185,17.704,25.717,1
summer,1,Red,Jin Air Green Wings,1,2.858783333,0,12.97173333,0,8.420266667,31.93277311,14.786,21.975,0
summer,2,Blue,Jin Air Green Wings,1,7.627883333,1,18.86608333,0,16.83828333,30.81447964,14.018,21.686,0
summer,2,Red,KT Rolster,0,7.627883333,0,18.86608333,1,16.83828333,32.19909502,14.435,22.177,1
summer,1,Blue,Longzhu Gaming,0,2.912683333,1,17.05468333,1,17.54746667,30.95520777,15.268,23.773,1
summer,1,Red,ROX Tigers,1,2.912683333,0,17.05468333,0,17.54746667,31.99136535,15.644,23.73,0
summer,2,Blue,ROX Tigers,1,2.617516667,0,13.46498333,0,8.727866667,28.76872964,15.061,23.097,0
summer,2,Red,Longzhu Gaming,0,2.617516667,1,13.46498333,1,8.727866667,30.48859935,16.912,29.838,1
summer,1,Blue,MVP,1,3.109066667,1,14.30075,1,11.48323333,32.51269036,16.641,25.584,0
summer,1,Red,SK Telecom T1,0,3.109066667,0,14.30075,0,11.48323333,38.60406091,13.795,21.43,1
summer,2,Blue,SK Telecom T1,1,11.91916667,0,13.42078333,1,18.6668,35.25943396,14.989,22.909,1
summer,2,Red,MVP,0,11.91916667,1,13.42078333,0,18.6668,28.93867925,14.442,21.465,0
summer,1,Blue,Ever8 Winners,1,11.39466667,1,13.13055,1,12.00408333,32.44271087,14.759,24.6,1
summer,1,Red,BBQ Olivers,0,11.39466667,0,13.13055,0,12.00408333,32.29644076,15.003,22.615,0
summer,2,Blue,BBQ Olivers,1,9.076616667,1,15.1914,0,9.7394,32.59259259,15.507,25.15,1
summer,2,Red,Ever8 Winners,0,9.076616667,0,15.1914,1,9.7394,30.24338624,15.093,23.18,0
summer,3,Blue,Ever8 Winners,0,2.67415,0,18.00081667,0,13.20796667,31.16756757,14.368,22.159,0
summer,3,Red,BBQ Olivers,1,2.67415,1,18.00081667,1,13.20796667,30.97297297,15.671,25.056,1
summer,1,Blue,Afreeca Freecs,1,6.453416667,1,11.74858333,1,11.29481667,33.61317404,15.898,25.545,1
summer,1,Red,ROX Tigers,0,6.453416667,0,11.74858333,0,11.29481667,33.41943817,15.18,23.484,0
summer,2,Blue,ROX Tigers,1,6.1422,0,6.897366667,1,13.85565,28.70657179,14.482,24.42,1
summer,2,Red,Afreeca Freecs,0,6.1422,1,6.897366667,0,13.85565,28.98283801,15.02,22.807,0
summer,3,Blue,Afreeca Freecs,1,6.390733333,0,12.53806667,1,13.0827,31.98986058,15.629,26.002,1
summer,3,Red,ROX Tigers,0,6.390733333,1,12.53806667,0,13.0827,30.11406844,14.682,22.712,0
summer,1,Blue,KT Rolster,1,9.8796,0,12.86698333,1,13.84825,30.63888889,14.891,23.473,1
summer,1,Red,Samsung Galaxy,0,9.8796,1,12.86698333,0,13.84825,33.19444444,14.595,22.763,0
summer,2,Blue,Samsung Galaxy,1,10.69411667,1,20.64361667,1,18.6347,33.44497608,14.382,22.784,1
summer,2,Red,KT Rolster,0,10.69411667,0,20.64361667,0,18.6347,34.62200957,14.701,23.003,0
summer,3,Blue,KT Rolster,1,4.610616667,0,7.630833333,1,12.65605,30.64351379,14.111,24.554,1
summer,3,Red,Samsung Galaxy,0,4.610616667,1,7.630833333,0,12.65605,34.16751788,14.984,22.266,0
